TIMESTAMP: 16.200000, X: 9.086697, Y: -3.364003, Z: -0.931593, PITCH: 0.626545, YAW: 2.336509
TIMESTAMP: 16.300000, X: 9.245465, Y: -3.352153, Z: -0.847797, PITCH: 0.617828, YAW: 2.349477
TIMESTAMP: 16.400000, X: 9.402943, Y: -3.341346, Z: -0.761985, PITCH: 0.609099, YAW: 2.362463
TIMESTAMP: 16.500000, X: 9.558930, Y: -3.331594, Z: -0.674042, PITCH: 0.600350, YAW: 2.375479
TIMESTAMP: 16.600000, X: 9.713247, Y: -3.322899, Z: -0.583886, PITCH: 0.591607, YAW: 2.388485
TIMESTAMP: 16.700000, X: 9.865731, Y: -3.315256, Z: -0.491460, PITCH: 0.582872, YAW: 2.401480
TIMESTAMP: 16.800000, X: 10.016246, Y: -3.308651, Z: -0.396737, PITCH: 0.574131, YAW: 2.414483
TIMESTAMP: 16.900000, X: 10.164674, Y: -3.303067, Z: -0.299717, PITCH: 0.565394, YAW: 2.427481
TIMESTAMP: 17.000000, X: 10.310921, Y: -3.298482, Z: -0.200431, PITCH: 0.556663, YAW: 2.440471
TIMESTAMP: 17.100000, X: 10.454915, Y: -3.294872, Z: -0.098935, PITCH: 0.547916, YAW: 2.453483
TIMESTAMP: 17.200000, X: 10.596608, Y: -3.292211, Z: 0.004685, PITCH: 0.539160, YAW: 2.466509
TIMESTAMP: 17.300000, X: 10.735973, Y: -3.290475, Z: 0.110317, PITCH: 0.530439, YAW: 2.479483
TIMESTAMP: 17.400000, X: 10.873008, Y: -3.289638, Z: 0.217826, PITCH: 0.521735, YAW: 2.492433
TIMESTAMP: 17.500000, X: 11.007730, Y: -3.289680, Z: 0.327049, PITCH: 0.512960, YAW: 2.505487
TIMESTAMP: 17.600000, X: 11.140181, Y: -3.290582, Z: 0.437803, PITCH: 0.504147, YAW: 2.518598
TIMESTAMP: 17.700000, X: 11.270420, Y: -3.292328, Z: 0.549884, PITCH: 0.495505, YAW: 2.531454
TIMESTAMP: 17.800000, X: 11.398527, Y: -3.294907, Z: 0.663070, PITCH: 0.487151, YAW: 2.543883
TIMESTAMP: 17.900000, X: 11.524601, Y: -3.298312, Z: 0.777120, PITCH: 0.478932, YAW: 2.556110
TIMESTAMP: 18.000000, X: 11.648756, Y: -3.302541, Z: 0.891781, PITCH: 0.470656, YAW: 2.568422
TIMESTAMP: 18.100000, X: 11.771122, Y: -3.307592, Z: 1.006787, PITCH: 0.462322, YAW: 2.580821
TIMESTAMP: 18.200000, X: 11.891843, Y: -3.313471, Z: 1.121863, PITCH: 0.454013, YAW: 2.593182
TIMESTAMP: 18.300000, X: 12.011074, Y: -3.320181, Z: 1.236728, PITCH: 0.445725, YAW: 2.605511
TIMESTAMP: 18.400000, X: 12.128976, Y: -3.327730, Z: 1.351097, PITCH: 0.437424, YAW: 2.617861
TIMESTAMP: 18.500000, X: 12.245723, Y: -3.336125, Z: 1.464683, PITCH: 0.429125, YAW: 2.630206
TIMESTAMP: 18.600000, X: 12.361488, Y: -3.345371, Z: 1.577202, PITCH: 0.420838, YAW: 2.642535
TIMESTAMP: 18.700000, X: 12.476451, Y: -3.355473, Z: 1.688375, PITCH: 0.412521, YAW: 2.654908
